video_id,clip_id,text,label,annotation,mode,label_by
-3g5yACwYnA,10,"Key is part of the people that we use to solve those issues, whether it's stretch or outdoor resistance or abrasions or different technical aspects that we really need to solve to get into new markets, they've been able to bring solutions.",1.0,Positive,train,0
-3g5yACwYnA,13,They've been able to find solutions or at least bring some answers to the table.,0.6666666865348816,Positive,train,0
-3g5yACwYnA,3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0.0,Neutral,train,0
-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,0.0,Neutral,train,0
-3g5yACwYnA,4,"Key brings those types of aspects to a business on new markets, new potentials, and even on our equipment of how things run and operate with a pretty big, long experience with their team.",1.0,Positive,train,0
-3g5yACwYnA,9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",0.6666666865348816,Positive,train,0
-3nNcZdcdvU,0,"Introduction Speaker: Dr. Erma Jean Sims, Sonoma State University My name is Dr. Erma Jean Sims I'm a member of the faculty of the School of Education at Sonoma State University.",0.3333333432674408,Positive,train,0
-3nNcZdcdvU,2,"It's important for teachers to understand their legal, ethical, and professional obligations in an educational setting.",1.0,Positive,train,0
-3nNcZdcdvU,5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,0.0,Neutral,train,0
-HwX2H8Z4hY,1,"A 1983 report, “A Nation at Risk,” argued that America itself was “being eroded by a rising tide of mediocrity",-0.6666666865348816,Negative,train,0
-HwX2H8Z4hY,0,the state of American education,0.0,Neutral,train,0
-HwX2H8Z4hY,3,"Federal spending on education soared eightfold in the past twenty years, rising much faster than inflation",0.3333333432674408,Positive,train,0
-HwX2H8Z4hY,2,"” [President Ronald Reagan:] ""Look at the record",0.0,Neutral,train,0
-HwX2H8Z4hY,5,""" President Ronald Reagan blamed the professional bureaucracy of education",-1.0,Negative,train,0
-HwX2H8Z4hY,4,"But during the same period, Scholastic Aptitude Test results went down, down and down",-2.0,Negative,train,0
-HwX2H8Z4hY,7,"For decades as a teacher and activist, he had complained about the burden of bureaucratic interference",0.6666666865348816,Positive,train,0
-HwX2H8Z4hY,6,"And in part, Al Shanker did too",0.0,Neutral,train,0
-HwX2H8Z4hY,9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-0.3333333432674408,Negative,train,0
-HwX2H8Z4hY,8,"""Now, that word 'professional' is becoming more and more of a dirty word for teachers",-1.6666666269302368,Negative,train,0
-NFrJFQijFE,1,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,0.3333333432674408,Positive,train,0
